Date,Sentiment,Tweet,Uni
9/2/2020 7:38,4,nu student receiv yesterday  is email ,2
9/2/2020 7:11,0,the day # notnotpyramidschem # mlm  is number proven track record % lose $ / # snakeoil salesmanship endless bonu qualif chain fals # gigeconomi # successes/ $ tup collapsed- # whoisnext $ med $ usna $ nu $ hlf # doterra # arbonn # rodanfield # dotstella $ nbev ,2
9/2/2020 7:10,0,the day # notnotpyramidschem # mlm  is number proven track record % lose $ / # snakeoil salesmanship endless bonu qualif chain fals # gigeconomi # successes/ $ tup collapsed- # whoisnext $ med $ usna $ nu $ hlf # doterra # arbonn # rodanfield # dotstella $ nbev ,2
9/2/2020 7:09,0,the day # notnotpyramidschem # mlm  is number proven track record % lose $ / # snakeoil salesmanship endless bonu qualif chain fals # gigeconomi # successes/ $ tup collapsed- # whoisnext $ med $ usna $ nu $ hlf # doterra # arbonn # rodanfield # dotstella $ nbev ,2
9/2/2020 7:09,0,the day # notnotpyramidschem # mlm  is number proven track record % lose $ / # snakeoil salesmanship endless bonu qualif chain fals # gigeconomi # successes/ $ tup collapsed- # whoisnext $ med $ usna $ nu $ hlf # doterra # arbonn # rodanfield # dotstella $ nbev ,2
9/2/2020 7:09,0,the day # notnotpyramidschem # mlm  is number proven track record % lose $ / # snakeoil salesmanship endless bonu qualif chain fals # gigeconomi # successes/ $ tup collapsed- # whoisnext $ med $ usna $ nu $ hlf # doterra # arbonn # rodanfield # dotstella $ nbev ,2
9/2/2020 6:57,0,appar faculti might give thermomet accord advisori not sure faculti would prepar keep look  are still nu ,2
9/2/2020 6:55,4,# notnotpyramidschem # mlm  is new illeg tender seri feb # gigeconomi # sidehustl # bossbab / $ hlf $ nu $ usna $ med $ tup # arbonn # lularo etc ,2
9/2/2020 6:52,4,iiz slen nu word dovahzul sound ice crystal format ice heard seen travel toward male If struck would like caus least part becom encas > ,2
9/2/2020 6:18,0,it not even I come get fact singl two pivot game nu march mad run michigan tourney clinch purdu sellout fan name recruit that tune program three year ago ,2
9/2/2020 6:18,0,one biggest L  is la vega  is chang name aviat lose whole area craze merch op later year ,2
9/2/2020 6:12,0,sound awesom promis beyond prior well know fact # nuskin # notnotpyramidschem # mlm failur # brazil # argentinia # venesuela etc etc / upcom $ nu earn tue amc / $ usna report declin last week stock skyrocket ,2
9/2/2020 6:08,0,nu ' man loy ,2
9/2/2020 5:52,4,for line less month I get b < nu whenev I recharg ,2
9/2/2020 5:34,0,nu announc strict measur measur bodi temperatur twice daili keep timestamp pictur seven day class event + peopl cancel class < take pictur attende record temperatur ,2
9/2/2020 5:12,4,they mail furrow brow hair malankia whatev fuck name give orang A nu aris crypt tomorrow afternoon ,2
9/2/2020 4:56,0,everi time I step nu ,2
9/2/2020 4:24,4,tell US about yourself jiexi singl from zero tele H u know nu SG fake ppl know MX glad met drop AN emoji I  will send you the question ,2
9/2/2020 4:22,0,nu implement e learn cours all school cut worsen # coronaviru # singapor ,2
9/2/2020 4:21,4,with coronaviru issu mandatori temperatur check tutori well report temperatur twice morn afternoon via nu myac websit monday onward ,2
9/2/2020 4:17,0,studi nation univers singapor nu global studi consult nu rank consist one world  is top univers from last year activ work admiss visa procedur bangladeshi student NU ,2
9/2/2020 4:13,0,live singapor think sever cold peopl dec jan We find look case pneumonia Is still earli seropreval studi SG ,2
9/2/2020 3:05,4,oooo dom energi nu ehem well im switch thank u tehe nu u definit sub caus pretti one alway sub ill take compliment ,2
9/2/2020 3:01,0,He cuz colleg high school recogn nba dont ,2
9/2/2020 2:55,0,$ nu expect file review perform th feb firm high accrual report earn lower chanc perform well next period see ,2
9/2/2020 2:55,4,also coincid end chines new year period best wait day see thing pan read much ,2
9/2/2020 2:52,0,anu /ns/ open end alimentari canal solid wast matter leav bodi ,2
9/2/2020 2:45,0,nation univers singapor jump gun goe code red class test e-learn setup prepar worst ,2
9/2/2020 2:44,4,`` parent - teacher collabor In the inclus classroom '' publish thank tammi tan nu proofread work ,2
9/2/2020 2:32,0,you know us ugli folk cant get p nu like right ,2
9/2/2020 2:32,4,prof kian ping loh nation univers singapor deliv excel talk D organ framework ,2
9/2/2020 2:25,0,zack analyst anticip Nu skin enterpris inc $ nu post $ ep ,2
9/2/2020 2:24,0,Nu skin enterpris inc $ nu expect announc quarterli sale $ million ,2
9/2/2020 2:24,4,analyst anticip Nu skin enterpris inc $ nu will post earn $ per share ,2
9/2/2020 2:22,0,Nu skin enterpris inc $ nu expect post quarterli sale $ million ,2
9/2/2020 2:22,4,At time like even import take time rest replenish restor garden balm soul ,2
9/2/2020 2:02,4,now moh rais risk assess orang  are transit e-learn lectur student effect monday for part life continu larg normal wash hand carri ,2
9/2/2020 1:56,4,avail e-offprint use link ,2
9/2/2020 1:51,0,nu implement e-learn class amid coronaviru outbreak # learn ,2
9/2/2020 1:49,4,begin ,2
9/2/2020 1:43,0,`` I feel like watch nu though window '' # theneighborinthewindow ,2
9/2/2020 1:37,4,there happi give take ,2
9/2/2020 1:28,4,yeah show us nu extra ,2
9/2/2020 1:21,0,nu implement e-learn class amid coronaviru outbreak ,2
9/2/2020 1:19,0,nu implement e-learn class amid coronaviru outbreak ,2
9/2/2020 1:00,4,wear red trouser nu - result tyranni ,2
9/2/2020 0:50,4,# - heighten precautionari measur place let continu vigil # nuscar # fasscar # sgtogeth # ncov # sghealth ,2
9/2/2020 0:50,4,ts easi give thing hold tri worth fall rise never got ask allah tri one day Ia We bless want tri dua best two ingredi success life ,2
9/2/2020 0:21,0,nu implement e-learn class amid coronaviru outbreak ,2
9/2/2020 0:03,4,prof andrew wee nation univers singapor deliv excit talk D research includ graphen ,2
8/2/2020 23:38,0,taxi driver viru nightmar work spread everi passeng ,2
8/2/2020 23:09,4,alisson ster gen ,2
8/2/2020 23:06,4,new case singapor china travel histori link previous identifi cluster # ncov ,2
8/2/2020 22:12,4,trimard ,2
8/2/2020 22:12,4,thank ,2
8/2/2020 21:52,4,anoth interest applic satisfi verif use approxim model count estim qualiti explan produc lime successor anchor accord number solut support link # aaai # aaai ,2
8/2/2020 21:36,4,Mt ,2
8/2/2020 21:36,4,same ,2
8/2/2020 21:34,4,# nintendo consol - black nus-eur with game # retrogam # ebay ,2
8/2/2020 21:33,4,# loancharg review say 'law clear ' disproven # lcag respons pleas join uphold # ruleoflaw ,2
8/2/2020 21:33,4,# loancharg review say 'law clear ' disproven # lcag respons pleas join uphold # ruleoflaw ,2
8/2/2020 21:24,0,If formal uni cours  would nu deal Oh well I  will muddl and give extra three week prep time It  is still frustrat hell I suspect I  will get drunk tonight ,2
8/2/2020 21:05,4,bout To Be push Up daisi for fuck with the nu ,2
8/2/2020 20:42,4,have seen DD stuff got list ,2
8/2/2020 20:42,4,qual ,2
8/2/2020 19:57,4,ye ong dong yee nim geniu goon yo ,2
8/2/2020 19:38,4,thi highli express minnan/hokkien languag ancestor speak list differ mandarin chines night woman fluffi rat old man sea sky goos money dragon hairi worm from ebook ,2
8/2/2020 19:33,4,interest see green effort made orkney popul spars yet london noth done address emiss exist vessel endors not fit purpos clean maritim plan ,2
8/2/2020 19:24,4,hi  are cambridg student undergrad postgrad pl consid vote nu deleg ,2
8/2/2020 18:57,4,she  will wonder job nu presid demontfort ,2
8/2/2020 18:55,4,# ncov # dataviz thi visual map singapor case cluster It contain first confirm case known transmiss link origin articl ,2
8/2/2020 18:53,4,pleas join # stoptheloancharg # savel seven possibl eight # loanchargesuicid ,2
8/2/2020 18:52,0, is kid oregon  have hack tablet-to-a-pelti quick-n-dirti pcr test devic `` suspect '' case may anticip ,2
8/2/2020 18:39,0,from financ experi yr triage-trad gain other ' loss  is hedg `` low risk '' new jersey beyond governor ,2
8/2/2020 18:32,0,updat add dozen # contamine_contamin # ncov case contact - hyatt hotel branch new infect french ski resort visit - businessman return home - subsequ ail brighton hospit - ,2
8/2/2020 18:28,0,My nu not cope ,2
8/2/2020 18:19,0,If youv never court room littl knowledg singapor code law diam la thi sentenc def justifi nu case ,2
8/2/2020 17:51,0,I need updat badg - I  have still got fuck nu lgbt one also ever add patch I ,2
8/2/2020 17:46,0,I move I need time MY whole year spent nu kdt ,2
8/2/2020 17:24,4,nu legitim one smartest main support ever touch game merci incred hi lucio improv much throughout season would upgrad almost team could amaz bench player phenomen coach deserv owl ,2
8/2/2020 17:16,0,excit owl final start still break heart nu bumper wo  not part _ ,2
8/2/2020 17:11,4,hey come caption ,2
8/2/2020 17:07,4,think like proton posit ,2
8/2/2020 16:55,4,our second word A- nu marco parti work togeth spew sh ,2
8/2/2020 16:54,0,shame mother lanka ,2
8/2/2020 16:45,4,done ,2
8/2/2020 16:34,4,hey everyon Im comic writer chanc work mani great artist year you read newest work support patreon thank everybodi ,2
