Date,Sentiment,Tweet,Uni
14/2/2020 7:52,0,miss smu much ,3
14/2/2020 7:48,4,happi valentin everyon special loml ,3
14/2/2020 7:30,4,move friday # unt # uta # smu # utd # tcu ,3
14/2/2020 7:26,4,now parad beauti smu # smucampusperson ,3
14/2/2020 7:15,4,Go get r done sunday stud love watch smu ,3
14/2/2020 7:09,4,just big bro happi birthday bro # yuknow ,3
14/2/2020 6:52,0,recap | senior tamika etherli led # cavwbb squad point thursday night # gnacwbb ,3
14/2/2020 6:28,4,Ey year  is valentin day gotten much hype shu can also hype safe sex # stiandcondomweek ,3
14/2/2020 6:21,0,I thought I got messag recruit link rando ask appli smu mba program social media usag made want respond I dont want buri even debt ,3
14/2/2020 6:16,4,had lot fun smu drinkup thank visit ,3
14/2/2020 5:52,4,murray mountain rockin earli  is ,3
14/2/2020 5:52,4,the scenario solid smu win alreadi tiebreak lock  not worri jump back game tie houston first ,3
14/2/2020 5:51,0,houston smu saturday huge tourney seed If houston win like mean worri tulsa knock us / line alreadi lock tiebreak ,3
14/2/2020 5:47,4,be good steward mean keep thing run smoothli day-to-day basi also foresight abil plan futur ,3
14/2/2020 5:42,4,well said nobodi current presid clinton cam newton louisvil bobbi petrino harley bama footbal smu footbal jacki sherril school baylor sport love podium great speaker deaf ear ,3
14/2/2020 5:36,4,# pxi # smu market worth $ million - exclus report marketsandmarket # semiconductor # semiconductor # batteri # iot ,3
14/2/2020 5:30,4,initi keen pursu degre relat healthcar michel lim end graduat one account smu account alumna michel look back internship career prepar come shell # smublog # smuexperi ,3
14/2/2020 5:26,4,happi VD # valentinesday ,3
14/2/2020 5:06,0,wow some peol etern optim I love aint make tournament too young injur mani tough game remain that smu game come back bite hard ,3
14/2/2020 5:04,4,cfb would give smu treatment basebal '' go tri apolog '' give u particip trophi retain ur championship ,3
14/2/2020 5:03,4,first gospel not gosspil second I refer materi NT learn bibl you rent copi allen librari third OT combin NT make entir bibl you realli went smu shock ,3
14/2/2020 4:58,0,more stat sinc houston memphi smu tulsa left cusa weaken leagu yr ago miner never finish better T- never made past day tournament # thankstoanthonysalom ,3
14/2/2020 4:57,0,Is kendric davi underr player country+ ortg % + possess use last game smu top offens kenpom He get wherev want draw help find open shooter make % confer play ,3
14/2/2020 4:53,4,happi valentin  is day wend I wuv uuuu ,3
14/2/2020 4:52,0,memphi absolut top team deposit wiseman injuri excus lost georgia tulsa smu usf they also jeffri tulsa smu game ,3
14/2/2020 4:50,4,love ,3
14/2/2020 4:40,4,happi valentin day sa mga smu x mu student mga kapatid ko babi moot enjoy day togeth love one love ko kayo especi || + ,3
14/2/2020 4:34,4,imagin smu - yesterday think took nastiest beat villanova - - like youv done ,3
14/2/2020 4:15,0,it year sinc school like memphi houston smu tulsa left c-usa l essenti water leagu basketbal confer In year utep finish better T- exactli hasnt made past nd day c-usa tourney ,3
14/2/2020 4:10,4,nah could win mayb even still get they alreadi tonight they  have got win home pick road win smu memphi cinci fine ,3
14/2/2020 4:06,0,I  not mind a-lo run point but last minut boogi elli have notic georgia smu south florida cincinnati lose close game penni not develop go-to player that design earli season ,3
14/2/2020 4:04,0,went smu tourney tonight cheaper closer got th switch byleth ddd wish I perform better least byleth get better ,3
14/2/2020 3:42,0,I havent work one hour ive alreadi call smu PD someon clean puke carpet I liter hate ,3
14/2/2020 3:36,4,sulit ang pagod nice game team usl thank smu # usltrendingat # teamcicm ,3
